care_name,prom_career,num_care,prom_career_ar
Game Developers,Write a tutorial on how to generate game ideas using Chat GPT.,,قم بكتابة برنامج تعليمي حول كيفية توليد أفكار الألعاب باستخدام Chat GPT.
Game Developers,Create a list of five Chat GPT features that can aid in creating games.,,قم بإنشاء قائمة بخمس ميزات Chat GPT التي يمكن أن تساعد في إنشاء الألعاب.
Game Developers,Write a blog post discussing the advantages of utilizing Chat GPT for game development.,,اكتب تدوينة تناقش فيها مزايا استخدام Chat GPT لتطوير اللعبة.
Game Developers,Create a list of the top five Chat GPT tools that every game developer should employ.,,قم بإنشاء قائمة بأفضل خمس أدوات Chat GPT التي يجب على كل مطور ألعاب استخدامها.
Game Developers,Create a list of five Chat GPT features that aid testing and debugging.,,أنشئ قائمة بخمس ميزات Chat GPT التي تساعد في الاختبار وتصحيح الأخطاء.
Game Developers,Create an evaluation of a Chat GPT plugin for Unity or another game engine.,,قم بإنشاء تقييم للمكون الإضافي Chat GPT لـ Unity أو محرك ألعاب آخر.
Game Developers,Create a list of five Chat GPT features that can aid in the design of levels.,,قم بإنشاء قائمة بخمس ميزات Chat GPT التي يمكن أن تساعد في تصميم المستويات.
Game Developers,Write an article about Chat GPT���s future in the gaming industry.,,اكتب مقالًا عن مستقبل Chat GPT في صناعة الألعاب.
Game Developers,Start a game of ���20 Questions.��� You can ask me yes or no questions to try and guess the word I���m thinking of. I���ll give you a hint: it���s a type of fruit.,,"ابدأ لعبة مكونة من ""20 سؤالًا"". يمكنك أن تسألني أسئلة بنعم أو لا لمحاولة تخمين الكلمة التي أفكر فيها. سأعطيك تلميحًا: إنه نوع من الفاكهة."
Game Developers,Let���s play Tic tac Toe.,,هيا نلعب تيك تاك تو.
Game Developers,Let���s play ���Would you rather?���. I���ll give you two options and you have to choose which one you would prefer.,,"هيا نلعب ""هل تفضل؟"". سأعطيك خيارين وعليك أن تختار الخيار الذي تفضله."
Game Developers,"Let���s play ���two truths and a lie���. Give me three statements about yourself, and I���ll try to guess which one is the lie.",,"هيا نلعب لعبة ""حقيقتين وكذبة"". أعطني ثلاث عبارات عن نفسك، وسأحاول تخمين أي منها هي الكذبة."
Game Developers,Let���s play a game of ���I Spy.��� I���ll give you a clue and you have to guess the object I���m thinking of. The clue is: ���It���s something you wear on your feet.,,"هيا نلعب لعبة ""أنا جاسوس"". سأعطيك دليلًا وعليك تخمين الشيء الذي أفكر فيه. الفكرة هي: ""إنه شيء ترتديه على قدميك""."
Game Developers,Make a coding challenge about artificial intelligence taking over the world.,,اصنع تحديًا برمجيًا حول سيطرة الذكاء الاصطناعي على العالم.
Social Media,Write a thread of tweets discussing the advantages of using Chat GPT for social media.,,اكتب سلسلة من التغريدات تناقش فيها مزايا استخدام Chat GPT لوسائل التواصل الاجتماعي.
Social Media,Create a list of five Chat GPT features that can aid in the creation of social media content.,,قم بإنشاء قائمة بخمس ميزات Chat GPT التي يمكن أن تساعد في إنشاء محتوى الوسائط الاجتماعية.
Social Media,Write a blog post on the significance of using Chat GPT to keep up with the most recent social media trends.,,اكتب تدوينة حول أهمية استخدام Chat GPT لمواكبة أحدث اتجاهات وسائل التواصل الاجتماعي.
Social Media,Create a list of five Chat GPT tools that all social media professionals should utilise.,,قم بإنشاء قائمة بخمس أدوات Chat GPT التي يجب على جميع محترفي وسائل التواصل الاجتماعي استخدامها.
Social Media,Write a case study detailing how Chat GPT assisted a company in expanding its social media following.,,اكتب دراسة حالة توضح بالتفصيل كيف ساعدت Chat GPT إحدى الشركات في توسيع متابعتها على وسائل التواصل الاجتماعي.
Social Media,Compile a list of five Chat GPT features that can aid in social media analytics.,,قم بتجميع قائمة من خمس ميزات Chat GPT التي يمكنها المساعدة في تحليلات الوسائط الاجتماعية.
Social Media,Write a tutorial on how to generate social media hashtags using Chat GPT.,,قم بكتابة برنامج تعليمي حول كيفية إنشاء علامات التصنيف على وسائل التواصل الاجتماعي باستخدام Chat GPT.
Social Media,Write an article on the social media future of Chat GPT.,,اكتب مقالًا عن مستقبل وسائل التواصل الاجتماعي لـ Chat GPT.
Social Media,Can you explain the difference between organic reach and paid reach on social media platforms?,,هل يمكنك توضيح الفرق بين الوصول العضوي والوصول المدفوع على منصات التواصل الاجتماعي؟
Social Media,What is the impact of algorithms on the visibility of posts on social media?,,ما هو تأثير الخوارزميات على ظهور المنشورات على وسائل التواصل الاجتماعي؟
Social Media,How can businesses effectively use social media for marketing purposes?,,كيف يمكن للشركات استخدام وسائل التواصل الاجتماعي بشكل فعال لأغراض التسويق؟
Social Media,What is the role of social media influencers and how do they impact consumer behavior?,,ما هو دور المؤثرين على وسائل التواصل الاجتماعي وكيف يؤثرون على سلوك المستهلك؟
Social Media,Can you explain the difference between a personal and a business profile on social media platforms?,,هل يمكنك توضيح الفرق بين الملف الشخصي والملف التجاري على منصات التواصل الاجتماعي؟
Social Media,How can social media be used for customer service and support?,,كيف يمكن استخدام وسائل التواصل الاجتماعي لخدمة العملاء والدعم؟
Social Media,What is the impact of fake news and misinformation on social media?,,ما هو تأثير الأخبار الكاذبة والمعلومات الخاطئة على وسائل التواصل الاجتماعي؟
Social Media,Can you describe the different ways to measure the success of a social media marketing campaign?,,هل يمكنك وصف الطرق المختلفة لقياس نجاح حملة التسويق عبر وسائل التواصل الاجتماعي؟
Social Media,How can social media be used to build brand awareness and loyalty?,,كيف يمكن استخدام وسائل التواصل الاجتماعي لبناء الوعي بالعلامة التجارية والولاء لها؟
Social Media,What is the impact of social media on personal privacy and security?,,ما هو تأثير وسائل التواصل الاجتماعي على الخصوصية والأمن الشخصي؟
Social Media,Can you explain the different methods for advertising on social media platforms?,,هل يمكنك شرح الطرق المختلفة للإعلان على منصات التواصل الاجتماعي؟
Social Media,How can social media be used to gather market research and customer insights?,,كيف يمكن استخدام وسائل التواصل الاجتماعي لجمع أبحاث السوق ورؤى العملاء؟
Social Media,Can you describe the different ways to manage your online reputation on social media?,,هل يمكنك وصف الطرق المختلفة لإدارة سمعتك عبر الإنترنت على وسائل التواصل الاجتماعي؟
Social Media,How can businesses use social media to build and maintain a strong online community?,,كيف يمكن للشركات استخدام وسائل التواصل الاجتماعي لبناء مجتمع قوي عبر الإنترنت والحفاظ عليه؟
Social Media,What is the impact of social media on interpersonal relationships and communication?,,ما هو تأثير وسائل التواصل الاجتماعي على العلاقات والتواصل بين الأشخاص؟
Social Media,Can you explain the different strategies for engaging with followers on social media?,,هل يمكنك شرح الاستراتيجيات المختلفة للتعامل مع المتابعين على وسائل التواصل الاجتماعي؟
Social Media,How can social media be used to drive traffic and conversions to a website?,,كيف يمكن استخدام وسائل التواصل الاجتماعي لزيادة عدد الزيارات والتحويلات إلى موقع الويب؟
Social Media,What is the role of social media in crisis management and reputation repair for businesses?,,ما هو دور وسائل التواصل الاجتماعي في إدارة الأزمات وإصلاح سمعة الشركات؟
TikTok Creators,Share your funniest TikTok lip-sync video,,شارك أطرف فيديو مزامنة الشفاه على TikTok
TikTok Creators,Show off your creative cooking skills on TikTok,,أظهر مهاراتك في الطبخ الإبداعي على TikTok
TikTok Creators,Make a TikTok video showing your favorite fashion trend for the season,,أنشئ مقطع فيديو على TikTok يُظهر صيحات الموضة المفضلة لديك لهذا الموسم
TikTok Creators,Create a TikTok workout routine for a full-body workout,,قم بإنشاء روتين تمرين TikTok لتمرين الجسم بالكامل
TikTok Creators,Share your best TikTok magic trick,,شارك أفضل خدعة سحرية لديك على TikTok
TikTok Creators,Create a DIY project on TikTok and inspire others to try it out,,قم بإنشاء مشروع DIY على TikTok وألهم الآخرين لتجربته
TikTok Creators,Make a TikTok video showing your favorite makeup look,,قم بعمل فيديو TikTok يظهر مظهر المكياج المفضل لديك
TikTok Creators,Show off your pet and its cutest tricks on TikTok,,اعرض حيوانك الأليف وأروع حيله على TikTok
TikTok Creators,What are the most popular TikTok trends right now?,,ما هي اتجاهات TikTok الأكثر شعبية الآن؟
TikTok Creators,How can I create engaging and creative content on TikTok?,,كيف يمكنني إنشاء محتوى جذاب ومبدع على TikTok؟
TikTok Creators,What are some tips for growing your TikTok following?,,ما هي بعض النصائح لزيادة متابعتك على TikTok؟
TikTok Creators,Can you suggest some fun dance challenges for TikTok?,,هل يمكنك اقتراح بعض تحديات الرقص الممتعة لـ TikTok؟
TikTok Creators,What are some popular sound effects and background music options for TikTok videos?,,ما هي بعض المؤثرات الصوتية الشائعة وخيارات الموسيقى الخلفية لمقاطع فيديو TikTok؟
TikTok Creators,How can I improve the editing and visual effects in my TikTok videos?,,كيف يمكنني تحسين التحرير والمؤثرات المرئية في مقاطع فيديو TikTok الخاصة بي؟
TikTok Creators,What are some tips for creating viral TikTok videos?,,ما هي بعض النصائح لإنشاء مقاطع فيديو TikTok سريعة الانتشار؟
TikTok Creators,Can you suggest some unique and creative video ideas for TikTok?,,هل يمكنك اقتراح بعض أفكار الفيديو الفريدة والإبداعية لـ TikTok؟
TikTok Creators,How can I incorporate humor and comedy into my TikTok content?,,كيف يمكنني دمج الفكاهة والكوميديا ​​في محتوى TikTok الخاص بي؟
TikTok Creators,What are some tips for collaborating with other TikTok creators and brands on the platform?,,ما هي بعض النصائح للتعاون مع منشئي المحتوى والعلامات التجارية الآخرين في TikTok على المنصة؟
Facebook Creators,Share your favorite quote and what it means to you.,,شارك اقتباسك المفضل وما يعنيه بالنسبة لك.
Facebook Creators,What's the most meaningful experience you've had so far this year?,,ما هي التجربة الأكثر أهمية التي مررت بها حتى الآن هذا العام؟
Facebook Creators,What are three things you're grateful for today?,,ما هي الأشياء الثلاثة التي تشعر بالامتنان لها اليوم؟
Facebook Creators,Share a funny joke or meme that made you laugh.,,شارك نكتة أو صورة مضحكة جعلتك تضحك.
Facebook Creators,What's the best advice you've ever received?,,ما هي أفضل نصيحة تلقيتها على الإطلاق؟
Facebook Creators,What are three things you want to accomplish this year?,,ما هي الأشياء الثلاثة التي تريد تحقيقها هذا العام؟
Facebook Creators,Share a recipe for one of your favorite dishes.,,شاركنا وصفة لأحد أطباقك المفضلة.
Facebook Creators,What's your favorite book and why?,,ما هو كتابك المفضل ولماذا؟
Facebook Creators,Share a photo of a place you've traveled to and what you loved about it.,,شارك بصورة للمكان الذي سافرت إليه وما أعجبك فيه.
Facebook Creators,Showcase your favorite workout routine or exercise and share tips on how to do it.,,اعرض روتين التمرين أو التمرين المفضل لديك وشارك النصائح حول كيفية القيام بذلك.
Facebook Creators,Share a time-lapse or slow-motion video of a creative or fun activity you enjoy.,,شارك مقطع فيديو بفاصل زمني أو بطيء الحركة لنشاط إبداعي أو ممتع تستمتع به.
Facebook Creators,Teach viewers how to make a dish or drink from your culture or heritage.,,قم بتعليم المشاهدين كيفية إعداد طبق أو مشروب من ثقافتك أو تراثك.
Facebook Creators,Showcase a DIY project or tutorial for something interesting or practical.,,اعرض مشروعًا أو برنامجًا تعليميًا DIY لشيء مثير للاهتمام أو عملي.
Facebook Creators,Share a video about an interesting fact or history about a place you've visited.,,شارك مقطع فيديو حول حقيقة أو تاريخ مثير للاهتمام حول مكان قمت بزيارته.
Facebook Creators,Share a video of you trying a new hobby or activity for the first time.,,شارك مقطع فيديو لك وأنت تجرب هواية أو نشاطًا جديدًا لأول مرة.
Facebook Creators,Teach a new skill or concept related to your work or expertise.,,قم بتدريس مهارة أو مفهوم جديد يتعلق بعملك أو خبرتك.
Facebook Creators,What would happen if cats ruled the world?,,ماذا سيحدث لو حكمت القطط العالم؟
Facebook Creators,The funniest dog fails of all time!,,أطرف كلب يفشل في كل العصور!
Facebook Creators,The most amazing street performers in the world,,أروع فناني الشوارع في العالم
Facebook Creators,The top 10 hidden camera pranks of all time,,أفضل 10 مقالب للكاميرات الخفية على الإطلاق
Facebook Creators,The most beautiful sunsets captured on camera,,أجمل غروب الشمس الذي تم التقاطه بالكاميرا
Programmers,Write a tutorial on how to generate ideas for new software projects using Chat GPT.,,قم بكتابة برنامج تعليمي حول كيفية توليد أفكار لمشاريع برمجية جديدة باستخدام Chat GPT.
Programmers,Create a list of five Chat GPT features that can aid in software development.,,قم بإنشاء قائمة بخمس ميزات Chat GPT التي يمكن أن تساعد في تطوير البرامج.
Programmers,Write a blog post discussing the advantages of utilizing Chat GPT for programming.,,اكتب تدوينة تناقش فيها مزايا استخدام Chat GPT للبرمجة.
Programmers,Create a list of five Chat GPT tools that all programmers should utilize.,,قم بإنشاء قائمة بخمس أدوات Chat GPT التي يجب على جميع المبرمجين استخدامها.
Programmers,Create a list of five Chat GPT features that aid testing and debugging.,,أنشئ قائمة بخمس ميزات Chat GPT التي تساعد في الاختبار وتصحيح الأخطاء.
Programmers,Review a Chat GPT plugin for Eclipse or another code editor.,,قم بمراجعة البرنامج الإضافي Chat GPT لـ Eclipse أو أي محرر تعليمات برمجية آخر.
Programmers,Create a list of five Chat GPT features that can aid in optimizing performance.,,قم بإنشاء قائمة بخمس ميزات Chat GPT التي يمكن أن تساعد في تحسين الأداء.
Programmers,Write an article discussing the future of Chat GPT in programming.,,كتابة مقال يناقش مستقبل Chat GPT في البرمجة.
Web Development,Help me find mistakes in the following code <paste code below>.,,ساعدني في العثور على الأخطاء في الكود التالي <الصق الكود أدناه>.
Web Development,I want to implement a sticky header on my website. Can you provide an example of how to do that using CSS and JavaScript?,,أريد تنفيذ رأس مثبت على موقع الويب الخاص بي. هل يمكنك تقديم مثال لكيفية القيام بذلك باستخدام CSS وJavaScript؟
Web Development,Please continue writing this code for JavaScript <post code below>,,الرجاء الاستمرار في كتابة هذا الرمز لـ JavaScript <الرمز البريدي أدناه>
Web Development,What is the difference between client-side and server-side scripting?,,ما الفرق بين البرمجة النصية من جانب العميل والخادم؟
Web Development,What is the difference between HTML and HTML5?,,ما الفرق بين HTML و HTML5؟
Web Development,How do you add a CSS file to an HTML document?,,كيف يمكنك إضافة ملف CSS إلى مستند HTML؟
Web Development,Can you explain the box model in CSS?,,هل يمكنك شرح نموذج الصندوق في CSS؟
Web Development,What is the difference between a GET and POST request in HTTP?,,ما الفرق بين طلب GET وPOST في HTTP؟
Web Development,How do you optimize images for web performance?,,كيف يمكنك تحسين الصور لأداء الويب؟
Web Development,"Can you explain the purpose of web development frameworks like React, Angular, and Vue.js?",,هل يمكنك شرح الغرض من أطر عمل تطوير الويب مثل React وAngular وVue.js؟
Web Development,Can you explain how cross-site scripting (XSS) works and how to prevent it?,,هل يمكنك شرح كيفية عمل البرمجة النصية عبر المواقع (XSS) وكيفية منعها؟
Web Development,What is the difference between a static and dynamic website?,,ما الفرق بين الموقع الثابت والديناميكي؟
Web Development,What are the benefits of using a CSS preprocessor like Sass or Less?,,ما فوائد استخدام معالج CSS المسبق مثل Sass أو Less؟
Web Development,Can you explain the Document Object Model (DOM) in web development?,,هل يمكنك شرح نموذج كائن المستند (DOM) في تطوير الويب؟
Web Development,What is the difference between cookies and local storage in web development?,,ما الفرق بين ملفات تعريف الارتباط والتخزين المحلي في تطوير الويب؟
Web Development,How do you make an AJAX request and what is its purpose in web development?,,كيف يمكنك تقديم طلب AJAX وما هو الغرض منه في تطوير الويب؟
Web Development,Can you explain the concept of Progressive Web Apps (PWAs)?,,هل يمكنك شرح مفهوم تطبيقات الويب التقدمية (PWAs)؟
Web Development,What is the purpose of HTTPS and how does it work?,,ما هو الغرض من HTTPS وكيف يعمل؟
Web Development,What is the difference between front-end and back-end web development?,,ما الفرق بين تطوير الويب الأمامي والخلفي؟
Web Development,What are some best practices for optimizing website load speed?,,ما هي بعض أفضل الممارسات لتحسين سرعة تحميل موقع الويب؟
Web Development,Can you explain the purpose of version control systems like Git in web development?,,هل يمكنك شرح الغرض من أنظمة التحكم في الإصدار مثل Git في تطوير الويب؟
Web Development,I need to create a REST API endpoint for my web application. Can you provide an example of how to do that using Node.js and Express?,,أحتاج إلى إنشاء نقطة نهاية REST API لتطبيق الويب الخاص بي. هل يمكنك تقديم مثال لكيفية القيام بذلك باستخدام Node.js وExpress؟
Web Development,Find the bug with this code: <post code below>,,ابحث عن الخطأ باستخدام هذا الرمز: <الرمز البريدي أدناه>
Web Development,I want to implement server-side rendering for my React application. Can you provide an example of how to do that using Next.js?,,أرغب في تنفيذ العرض من جانب الخادم لتطبيق React الخاص بي. هل يمكنك تقديم مثال لكيفية القيام بذلك باستخدام Next.js؟
Web Development,Provide a UX design tip I can share on LinkedIn.,,تقديم نصيحة لتصميم تجربة المستخدم التي يمكنني مشاركتها على LinkedIn.
Web Development,Assume the table names and generate an SQL code to find out Elon Musk���s tweets from 2019.,,افترض أسماء الجداول وقم بإنشاء كود SQL لمعرفة تغريدات Elon Musk منذ عام 2019.
Web Development,What exactly does this regex do? rege(x(es)?|xps?).,,ماذا يفعل هذا التعبير العادي بالضبط؟ rege(x(es)?|xps?).
Web Development,Write a docstring for the following function <paste function below>.,,اكتب سلسلة مستندية للوظيفة التالية <وظيفة اللصق أدناه>.
Web Development,I���m making a website for a small business [Business description]. I need ideas on how to structure the website using WordPress.,,أقوم بإنشاء موقع ويب لشركة صغيرة [وصف العمل]. أحتاج إلى أفكار حول كيفية هيكلة الموقع باستخدام WordPress.
Web Development,Generate a list of 10 relevant skills and experiences for a web developer job application.,,أنشئ قائمة تضم 10 مهارات وخبرات ذات صلة بطلب وظيفة مطور الويب.
Teachers,Create a list of 5 types of data that teachers can collect to monitor student learning and progress.,,أنشئ قائمة تضم 5 أنواع من البيانات التي يمكن للمعلمين جمعها لمراقبة تعلم الطلاب وتقدمهم.
Teachers,Create a quiz with 5 multiple choice questions that assess students' understanding of [concept being taught].,,أنشئ اختبارًا قصيرًا يتكون من 5 أسئلة متعددة الاختيارات تعمل على تقييم مدى فهم الطلاب لـ [المفهوم الذي يتم تدريسه].
Teachers,Construct a model essay on social discrimination that surpasses all the requirements for an 'A' grade.,,"بناء مقالة نموذجية عن التمييز الاجتماعي تفوق جميع متطلبات الحصول على تقدير ""أ""."
Teachers,Design a poster that outlines the regulations of the classroom as well as the penalties for violating them,,تصميم ملصق يوضح أنظمة الفصل الدراسي وعقوبات مخالفتها
Teachers,Generate a list of specific and actionable steps that a student can take to improve their performance in [subject/task],,قم بإنشاء قائمة بالخطوات المحددة والقابلة للتنفيذ التي يمكن للطالب اتخاذها لتحسين أدائه في [الموضوع/المهمة]
Teachers,"Create a lesson outline for a lesson on [concept being taught] that includes learning objectives, creative activities, and success criteria.",,قم بإنشاء مخطط درس لدرس حول [المفهوم الذي يتم تدريسه] يتضمن أهداف التعلم والأنشطة الإبداعية ومعايير النجاح.
Teachers,Create a list of 5 teaching strategies that could be used to engage and challenge students of different ability levels in a lesson on [concept being taught],,قم بإنشاء قائمة تضم 5 إستراتيجيات تدريس يمكن استخدامها لإشراك الطلاب ذوي مستويات القدرات المختلفة وتحديهم في درس حول [المفهوم الذي يتم تدريسه]
Teachers,Create a list of interactive classroom activities for [concept being taught],,قم بإنشاء قائمة بأنشطة الفصل الدراسي التفاعلية لـ [المفهوم الذي يتم تدريسه]
Teachers,Create a marking scheme for evaluating student writing in line with the [concept being taught],,إنشاء نظام علامات لتقييم كتابات الطلاب بما يتماشى مع [المفهوم الذي يتم تدريسه]
Teachers,I need help developing a lesson plan on renewable energy sources for high school students.,,أحتاج إلى مساعدة في تطوير خطة درس حول مصادر الطاقة المتجددة لطلاب المدارس الثانوية.
Teachers,Come up with a list of 10 unique qualities to include in a teacher���s resume.,,قم بإعداد قائمة تضم 10 صفات فريدة لتضمينها في السيرة الذاتية للمعلم.
Teachers,What are some effective ways to engage students in the classroom?,,ما هي بعض الطرق الفعالة لإشراك الطلاب في الفصل الدراسي؟
Teachers,How can teachers assess students��� understanding of a topic?,,كيف يمكن للمعلمين تقييم مدى فهم الطلاب لموضوع ما؟
Teachers,What are some strategies for differentiating instruction to meet the needs of all learners?,,ما هي بعض الاستراتيجيات لتمييز التدريس لتلبية احتياجات جميع المتعلمين؟
Teachers,What are some tips for creating a positive classroom environment?,,ما هي بعض النصائح لخلق بيئة صفية إيجابية؟
Teachers,What are some best practices for promoting student collaboration and teamwork?,,ما هي بعض أفضل الممارسات لتعزيز تعاون الطلاب والعمل الجماعي؟
Teachers,How can teachers effectively manage classroom behavior and discipline?,,كيف يمكن للمعلمين إدارة السلوك والانضباط في الفصل الدراسي بشكل فعال؟
Teachers,"What are some ways to integrate hands-on, project-based learning into the classroom?",,ما هي بعض الطرق لدمج التعلم العملي القائم على المشاريع في الفصل الدراسي؟
Teachers,How can teachers address and support the social and emotional needs of their students?,,كيف يمكن للمعلمين معالجة ودعم الاحتياجات الاجتماعية والعاطفية لطلابهم؟
Teachers,What are some effective methods for differentiating instruction for English language learners?,,ما هي بعض الطرق الفعالة لتمييز التدريس لمتعلمي اللغة الإنجليزية؟
Teachers,How can teachers integrate inquiry-based learning into their lessons?,,كيف يمكن للمدرسين دمج التعلم المبني على الاستقصاء في دروسهم؟
Teachers,What are some strategies for supporting students with special needs in the inclusive classroom?,,ما هي بعض الاستراتيجيات لدعم الطلاب ذوي الاحتياجات الخاصة في الفصول الدراسية الشاملة؟
Teachers,How can teachers encourage and support critical thinking and problem-solving skills in their students?,,كيف يمكن للمعلمين تشجيع ودعم التفكير النقدي ومهارات حل المشكلات لدى طلابهم؟
Teachers,What are some best practices for incorporating formative assessment into daily instruction?,,ما هي بعض أفضل الممارسات لدمج التقييم التكويني في التدريس اليومي؟
Teachers,How can teachers use multimedia resources to enhance student learning?,,كيف يمكن للمعلمين استخدام موارد الوسائط المتعددة لتعزيز تعلم الطلاب؟
Teachers,What are some strategies for creating a growth mindset in students?,,ما هي بعض الاستراتيجيات لخلق عقلية النمو لدى الطلاب؟
Teachers,How can teachers effectively communicate with families to support student learning at home?,,كيف يمكن للمعلمين التواصل بشكل فعال مع الأسر لدعم تعلم الطلاب في المنزل؟
Teachers,What are some best practices for incorporating movement and physical activity into the classroom?,,ما هي بعض أفضل الممارسات لدمج الحركة والنشاط البدني في الفصل الدراسي؟
Teachers,How can teachers design and implement effective project-based learning experiences for their students?,,كيف يمكن للمعلمين تصميم وتنفيذ تجارب تعليمية فعالة قائمة على المشاريع لطلابهم؟
Teachers,What are some ways to use differentiation to support students��� strengths and interests in the classroom?,,ما هي بعض الطرق لاستخدام التمايز لدعم نقاط قوة الطلاب واهتماماتهم في الفصل الدراسي؟
For Fun,Send a pun-filled happy birthday message to my friend Alex.,,أرسل رسالة عيد ميلاد سعيدة مليئة بالتورية إلى صديقي أليكس.
For Fun,Write a sequel/prequel about the 'X' movie,,"اكتب تكملة/مقدمة عن الفيلم ""X""."
For Fun,Create a new playlist of new song names from 'X',,"قم بإنشاء قائمة تشغيل جديدة بأسماء الأغاني الجديدة من ""X"""
For Fun,write a script for a movie with 'X' and 'X',,"كتابة سيناريو لفيلم باستخدام ""X"" و""X"""
For Fun,Explain [topic of your choice] in a funny way,,اشرح [الموضوع الذي تختاره] بطريقة مضحكة
For Fun,Give me an example of a proposal message for a girl,,أعطني مثالاً على رسالة اقتراح لفتاة
For Fun,Write a short story where an Eraser is the main character.,,اكتب قصة قصيرة تكون فيها الممحاة هي الشخصية الرئيسية.
For Fun,How much wood could a woodchuck chuck if a woodchuck could chuck wood?,,ما هي كمية الخشب التي يمكن لطائر الحطاب أن يقذفها إذا كان طائر الحطاب يستطيع أن يقذف الخشب؟
For Fun,Make Eminem-style jokes about Max Payne.,,قم بإلقاء نكات بأسلوب إيمينيم عن ماكس باين.
For Fun,"You are a text video game where you give me options ( A, B, C, D) as my choices. The scene is Narnia. I start out with 100 health.",,"أنت لعبة فيديو نصية حيث تعطيني خيارات (أ، ب، ج، د) كاختياراتي. المشهد هو نارنيا. أبدأ بـ 100 صحة."
For Fun,"Write a formal complaint email to United Airlines about my delayed baggage from my flight on Tuesday, January 17th, from New York to Los Angeles.",,"اكتب شكوى رسمية عبر البريد الإلكتروني إلى United Airlines بشأن أمتعتي المتأخرة من رحلتي يوم الثلاثاء، 17 يناير، من نيويورك إلى لوس أنجلوس."
For Fun,Translate the following text into Portuguese: <paste text below>,,ترجمة النص التالي إلى اللغة البرتغالية: <لصق النص أدناه>
For Fun,Write hilarious fan fiction about the Twilight saga.,,اكتب قصصًا مضحكة عن المعجبين حول ملحمة الشفق.
AI ART (Midjourney),"A photograph of an angry full-bodied wolf in the foggy woods, by Alex Horley-Orlandelli, by Bastien Lecouffe-Deharme, dusk, sepia, 8k, realistic",,"صورة لذئب غاضب كامل الجسم في الغابة الضبابية، بواسطة Alex Horley-Orlandelli، بواسطة Bastien Lecouffe-Deharme، الغسق، بني داكن، 8k، واقعي"
AI ART (Midjourney),"photo of an extremely cute alien fish swimming on an alien habitable underwater planet, coral reefs, dream-like atmosphere, water, plants, peace, serenity, calm ocean, transparent water, reefs, fish, coral, inner peace, awareness, silence, nature, evoluti",,"صورة لسمكة غريبة لطيفة للغاية تسبح على كوكب فضائي صالح للسكن تحت الماء، شعاب مرجانية، جو يشبه الحلم، ماء، نباتات، سلام، صفاء، محيط هادئ، مياه شفافة، شعاب مرجانية، سمك، مرجاني، سلام داخلي، وعي، صمت، طبيعة، تطور"
AI ART (Midjourney),"An illustration of a Viking sitting on a rock, dramatic lighting [ Explain in detail about the picture or ask ChatSonic to write the illustration for you ���]",,"رسم توضيحي لفايكنج يجلس على صخرة، إضاءة درامية [اشرح الصورة بالتفصيل أو اطلب من ChatSonic أن يكتب لك الرسم التوضيحي ���]"
AI ART (Midjourney),Design a modern logo with a sun for a marketing company,,تصميم شعار حديث مع شمس لشركة تسويق
AI ART (Midjourney),"Please generate a surreal landscape with bright colors and organic shapes. Include a small figure in the foreground, with their back, turned to the viewer.",,"يرجى إنشاء منظر طبيعي سريالي بألوان زاهية وأشكال عضوية. قم بتضمين شخصية صغيرة في المقدمة، وظهرها موجه نحو المشاهد."
AI ART (Midjourney),"Generate a portrait of a person with a dreamy, ethereal quality, using soft pastel colors and flowing lines.",,"أنشئ صورة شخصية لشخص يتمتع بجودة حالمة وأثيرية، باستخدام ألوان الباستيل الناعمة والخطوط الانسيابية."
AI ART (Midjourney),"Create an abstract interpretation of a city skyline at night, using geometric shapes and bold, vibrant colors.",,"قم بإنشاء تفسير مجرد لأفق المدينة في الليل، باستخدام الأشكال الهندسية والألوان الجريئة والنابضة بالحياة."
AI ART (Midjourney),Come up with fresh ideas for coffee mug designs. A brand-new approach to holding hot liquids,,ابتكر أفكارًا جديدة لتصميمات أكواب القهوة. طريقة جديدة تمامًا لحمل السوائل الساخنة
AI ART (Midjourney),"A stunning close-up illustration of Ana de Armas in a dramatic, dark, and moody style, inspired by the work of Simon St��lenhag, with intricate details and a sense of mystery",,"رسم توضيحي مذهل عن قرب لآنا دي أرماس بأسلوب درامي ومظلم ومتقلب المزاج، مستوحى من أعمال سيمون ستالينهاج، مع تفاصيل معقدة وإحساس بالغموض"
AI ART (Midjourney),How can I create a compelling concept for a series of illustrations [ Describe your vision]?,,كيف يمكنني إنشاء مفهوم مقنع لسلسلة من الرسوم التوضيحية [ صف رؤيتك ]؟
AI ART (Midjourney),Create an image description that describes a visually stunning setting that takes place in the year 3030.,,أنشئ وصفًا للصورة يصف مشهدًا مذهلاً بصريًا يحدث في عام 3030.
AI ART (Midjourney),How can I create a minimalistic logo that conveys a strong brand image? Give me an example,,كيف يمكنني إنشاء شعار بسيط ينقل صورة العلامة التجارية القوية؟ أعطني مثالا
Food and Cooking,Can you help me plan a week's worth of dinner for two adults,,هل يمكنك مساعدتي في التخطيط لعشاء لمدة أسبوع لشخصين بالغين
Food and Cooking,Generate a meal plan for two days and give me the shopping list,,قم بإنشاء خطة وجبات لمدة يومين وأعطني قائمة التسوق
Food and Cooking,"I have tomato, lettuce, and broccoli. What can I prepare with them for a vegan lunch?",,لدي الطماطم والخس والقرنبيط. ما الذي يمكنني تحضيره معهم لوجبة غداء نباتية؟
